province, city_name, city_code,date,avg_temperature
内蒙古自治区,根河,50431,2023-12-09,-32.2
黑龙江省,新林,50349,2023-12-09,-31.6
黑龙江省,呼中,50247,2023-12-09,-30.6
黑龙江省,漠河,50136,2023-12-08,-30.4
内蒙古自治区,图里河,50434,2023-12-09,-29.0
内蒙古自治区,额尔古纳,50425,2023-12-09,-28.7
内蒙古自治区,新巴尔虎左旗,50618,2023-12-09,-27.8
内蒙古自治区,满洲里,50514,2023-12-09,-27.6
内蒙古自治区,阿尔山,50727,2023-12-09,-27.4
内蒙古自治区,陈巴尔虎旗,50524,2023-12-09,-27.4
黑龙江省,漠河,50136,2023-12-09,-27.3
内蒙古自治区,牙克石,50526,2023-12-09,-27.1
内蒙古自治区,海拉尔,50527,2023-12-09,-27.1
内蒙古自治区,鄂温克旗,50525,2023-12-09,-26.7
内蒙古自治区,满洲里,50514,2023-12-08,-26.4
黑龙江省,塔河,50246,2023-12-09,-26.2
黑龙江省,呼玛,50353,2023-12-09,-26.2
黑龙江省,新林,50349,2023-12-08,-25.2
黑龙江省,塔河,50246,2023-12-08,-25.0
内蒙古自治区,鄂伦春旗,50445,2023-12-09,-25.0
内蒙古自治区,根河,50431,2023-12-08,-24.6
内蒙古自治区,新巴尔虎右旗,50603,2023-12-08,-24.3
内蒙古自治区,博克图,50632,2023-12-09,-24.1
内蒙古自治区,鄂温克旗,50525,2023-12-08,-24.1
内蒙古自治区,陈巴尔虎旗,50524,2023-12-08,-24.1
内蒙古自治区,新巴尔虎左旗,50618,2023-12-08,-24.1
内蒙古自治区,新巴尔虎右旗,50603,2023-12-09,-24.0
内蒙古自治区,海拉尔,50527,2023-12-08,-23.9
黑龙江省,呼中,50247,2023-12-08,-23.8
内蒙古自治区,额尔古纳,50425,2023-12-08,-23.5
内蒙古自治区,乌拉盖,50913,2023-12-09,-23.1
黑龙江省,嫩江,50557,2023-12-09,-22.9
黑龙江省,加格达奇,50442,2023-12-09,-22.8
黑龙江省,五大连池,50655,2023-12-09,-22.6
黑龙江省,逊克,50566,2023-12-09,-22.6
黑龙江省,北安,50656,2023-12-09,-22.5
内蒙古自治区,小二沟,50548,2023-12-09,-22.3
黑龙江省,孙吴,50564,2023-12-09,-22.0
内蒙古自治区,牙克石,50526,2023-12-08,-22.0
黑龙江省,汤旺,50674,2023-12-09,-21.9
内蒙古自治区,图里河,50434,2023-12-08,-21.6
内蒙古自治区,阿尔山,50727,2023-12-08,-21.6
黑龙江省,黑河,50468,2023-12-09,-21.0
黑龙江省,讷河,50646,2023-12-09,-20.9
内蒙古自治区,扎兰屯,50639,2023-12-09,-20.9
内蒙古自治区,西乌珠穆沁旗,54012,2023-12-08,-20.9
黑龙江省,克东,50659,2023-12-09,-20.7
内蒙古自治区,莫力达瓦旗,50645,2023-12-09,-20.6
黑龙江省,呼玛,50353,2023-12-08,-20.5
内蒙古自治区,霍林郭勒,50924,2023-12-09,-20.3
内蒙古自治区,鄂伦春旗,50445,2023-12-08,-20.3
内蒙古自治区,博克图,50632,2023-12-08,-20.0
黑龙江省,嘉荫,50673,2023-12-09,-19.9
黑龙江省,克山,50658,2023-12-09,-19.8
内蒙古自治区,乌拉盖,50913,2023-12-08,-19.8
内蒙古自治区,东乌珠穆沁旗,50915,2023-12-09,-19.6
黑龙江省,依安,50750,2023-12-09,-19.5
黑龙江省,拜泉,50755,2023-12-09,-19.5
黑龙江省,丰林,50772,2023-12-09,-19.4
黑龙江省,加格达奇,50442,2023-12-08,-19.2
内蒙古自治区,那仁宝力格,53083,2023-12-09,-18.7
内蒙古自治区,小二沟,50548,2023-12-08,-18.7
黑龙江省,北安,50656,2023-12-08,-18.6
黑龙江省,讷河,50646,2023-12-08,-18.3
黑龙江省,伊春,50774,2023-12-09,-18.2
黑龙江省,铁力,50862,2023-12-09,-18.1
黑龙江省,逊克,50566,2023-12-08,-18.0
黑龙江省,黑河,50468,2023-12-08,-18.0
黑龙江省,海伦,50756,2023-12-09,-17.9
黑龙江省,孙吴,50564,2023-12-08,-17.8
黑龙江省,克山,50658,2023-12-08,-17.8
黑龙江省,绥棱,50767,2023-12-09,-17.7
内蒙古自治区,阿荣旗,50647,2023-12-09,-17.6
内蒙古自治区,霍林郭勒,50924,2023-12-08,-17.5
黑龙江省,克东,50659,2023-12-08,-17.5
黑龙江省,庆安,50861,2023-12-09,-17.4
黑龙江省,明水,50758,2023-12-09,-17.3
黑龙江省,五大连池,50655,2023-12-08,-17.3
内蒙古自治区,西乌珠穆沁旗,54012,2023-12-09,-17.3
黑龙江省,依安,50750,2023-12-08,-17.0
内蒙古自治区,索伦,50834,2023-12-09,-17.0
黑龙江省,青冈,50851,2023-12-09,-17.0
黑龙江省,拜泉,50755,2023-12-08,-16.9
黑龙江省,嫩江,50557,2023-12-08,-16.7
黑龙江省,富裕,50742,2023-12-09,-16.6
黑龙江省,绥化,50853,2023-12-09,-16.5
黑龙江省,甘南,50741,2023-12-09,-16.5
内蒙古自治区,巴雅尔吐胡硕,50928,2023-12-09,-16.5
内蒙古自治区,锡林浩特,54102,2023-12-08,-16.5
黑龙江省,兰西,50859,2023-12-09,-16.5
黑龙江省,汤原,50871,2023-12-08,-16.4
黑龙江省,巴彦,50867,2023-12-09,-16.4
黑龙江省,明水,50758,2023-12-08,-16.2
黑龙江省,汤旺,50674,2023-12-08,-16.2
黑龙江省,齐齐哈尔,50745,2023-12-09,-16.1
黑龙江省,望奎,50852,2023-12-09,-16.0
内蒙古自治区,阿巴嘎旗,53192,2023-12-09,-16.0
内蒙古自治区,东乌珠穆沁旗,50915,2023-12-08,-15.8
黑龙江省,泰来,50844,2023-12-09,-15.6
黑龙江省,海伦,50756,2023-12-08,-15.6
西藏自治区,仲巴,55542,2023-12-09,-15.6
黑龙江省,木兰,50962,2023-12-09,-15.5
新疆维吾尔自治区,阿勒泰,51076,2023-12-08,-15.4
新疆维吾尔自治区,阿勒泰,51076,2023-12-09,-15.2
内蒙古自治区,扎赉特旗,50833,2023-12-09,-15.2
黑龙江省,龙江,50739,2023-12-09,-15.2
黑龙江省,林甸,50749,2023-12-08,-15.2
黑龙江省,通河,50963,2023-12-09,-15.2
内蒙古自治区,乌兰浩特,50838,2023-12-09,-15.0
黑龙江省,佳木斯,50873,2023-12-08,-15.0
黑龙江省,汤原,50871,2023-12-09,-14.9
西藏自治区,双湖,55178,2023-12-09,-14.9
内蒙古自治区,莫力达瓦旗,50645,2023-12-08,-14.9
内蒙古自治区,巴雅尔吐胡硕,50928,2023-12-08,-14.8
黑龙江省,富裕,50742,2023-12-08,-14.7
黑龙江省,林甸,50749,2023-12-09,-14.7
黑龙江省,阿城,50958,2023-12-09,-14.6
内蒙古自治区,索伦,50834,2023-12-08,-14.5
内蒙古自治区,锡林浩特,54102,2023-12-09,-14.4
黑龙江省,安达,50854,2023-12-09,-14.4
内蒙古自治区,扎兰屯,50639,2023-12-08,-14.4
内蒙古自治区,阿巴嘎旗,53192,2023-12-08,-14.4
黑龙江省,肇东,50858,2023-12-09,-14.4
黑龙江省,肇州,50950,2023-12-08,-14.4
黑龙江省,肇州,50950,2023-12-09,-14.4
黑龙江省,呼兰,50956,2023-12-09,-14.4
黑龙江省,杜尔伯特,50842,2023-12-08,-14.3
黑龙江省,鹤岗,50775,2023-12-09,-14.3
黑龙江省,杜尔伯特,50842,2023-12-09,-14.3
内蒙古自治区,胡尔勒,50832,2023-12-09,-14.2
黑龙江省,望奎,50852,2023-12-08,-14.1
黑龙江省,同江,50778,2023-12-09,-14.1
内蒙古自治区,二连浩特,53068,2023-12-09,-13.9
吉林省,扶余,54063,2023-12-09,-13.9
黑龙江省,兰西,50859,2023-12-08,-13.9
黑龙江省,抚远,50779,2023-12-09,-13.8
内蒙古自治区,突泉,50934,2023-12-09,-13.8
内蒙古自治区,那仁宝力格,53083,2023-12-08,-13.8
黑龙江省,青冈,50851,2023-12-08,-13.8
黑龙江省,哈尔滨,50953,2023-12-09,-13.7
黑龙江省,绥棱,50767,2023-12-08,-13.7
内蒙古自治区,苏尼特左旗,53195,2023-12-09,-13.7
吉林省,大安,50945,2023-12-09,-13.6
黑龙江省,绥滨,50787,2023-12-09,-13.5
黑龙江省,佳木斯,50873,2023-12-09,-13.5
黑龙江省,泰来,50844,2023-12-08,-13.5
黑龙江省,大庆,50850,2023-12-09,-13.5
黑龙江省,宾县,50960,2023-12-09,-13.5
黑龙江省,庆安,50861,2023-12-08,-13.4
内蒙古自治区,富河,54024,2023-12-09,-13.4
黑龙江省,肇源,50954,2023-12-09,-13.3
吉林省,镇赉,50940,2023-12-09,-13.3
内蒙古自治区,科尔沁右翼中旗,50937,2023-12-09,-13.3
黑龙江省,依兰,50877,2023-12-09,-13.2
黑龙江省,萝北,50776,2023-12-09,-13.2
黑龙江省,齐齐哈尔,50745,2023-12-08,-13.2
黑龙江省,双城,50955,2023-12-09,-13.1
内蒙古自治区,林西,54115,2023-12-09,-13.1
黑龙江省,方正,50964,2023-12-09,-13.1
吉林省,乾安,50948,2023-12-09,-13.1
内蒙古自治区,林西,54115,2023-12-08,-13.1
青海省,甘德,56045,2023-12-09,-13.1
黑龙江省,延寿,50965,2023-12-09,-13.0
西藏自治区,岗巴,55677,2023-12-09,-12.9
内蒙古自治区,富河,54024,2023-12-08,-12.9
黑龙江省,绥化,50853,2023-12-08,-12.9
黑龙江省,友谊,50881,2023-12-09,-12.9
吉林省,白城,50936,2023-12-09,-12.9
黑龙江省,桦南,50879,2023-12-09,-12.8
内蒙古自治区,高力板,54031,2023-12-09,-12.8
内蒙古自治区,阿荣旗,50647,2023-12-08,-12.6
内蒙古自治区,克什克腾旗,54117,2023-12-09,-12.6
吉林省,洮南,50939,2023-12-09,-12.5
黑龙江省,富锦,50788,2023-12-09,-12.5
黑龙江省,甘南,50741,2023-12-08,-12.4
内蒙古自治区,突泉,50934,2023-12-08,-12.3
青海省,玛多,56033,2023-12-09,-12.3
黑龙江省,呼兰,50956,2023-12-08,-12.2
黑龙江省,鹤岗,50775,2023-12-08,-12.2
黑龙江省,肇东,50858,2023-12-08,-12.2
吉林省,前郭,50949,2023-12-09,-12.2
吉林省,榆树,54072,2023-12-09,-12.2
黑龙江省,大庆,50850,2023-12-08,-12.1
黑龙江省,桦川,50878,2023-12-08,-12.1
西藏自治区,仲巴,55542,2023-12-08,-12.1
吉林省,长岭,54049,2023-12-09,-12.0
黑龙江省,肇源,50954,2023-12-08,-11.9
内蒙古自治区,阿鲁科尔沁旗,54122,2023-12-08,-11.9
黑龙江省,巴彦,50867,2023-12-08,-11.8
内蒙古自治区,科尔沁右翼中旗,50937,2023-12-08,-11.8
内蒙古自治区,乌兰浩特,50838,2023-12-08,-11.8
吉林省,松原,50946,2023-12-09,-11.7
内蒙古自治区,苏尼特右旗,53272,2023-12-09,-11.7
内蒙古自治区,巴林右旗,54113,2023-12-09,-11.6
